rec_id,given_name,surname,street_number,address_1,suburb,postcode,state,date_of_birth,age,phone_number,soc_sec_id,blocking_number
rec-1886-org,Alisha,Chock,238,Noeau St,Puako,90202,hi,19750818,21,253 4942779,9453505,2
rec-1070-org,Alisha,Ikaika,86,Ikena Cir,Volcano,96726,az,19880504,32,423 0967868,8804350,7
rec-541-org,Alisha,Paguirigan,7,Meakanu Pl,Volcano,90290,az,20150925,26,206 1300975,4983202,3
rec-2012-org,Alisha,Tsuda,17,Kipu Pl,Paia,96778,hi,19590213,26,206 5024230,4135739,6
rec-123-org,,Agustin,7,Kaufman Ct,Aiea,92706,az,19921219,30,423 8398416,5853032,5
rec-2247-org,Alisha,Uehara,16,Kanu St,Kahaluu,96746,nv,19991129,19,253 7941992,,2
rec-474-org,Ridge,Shimada,3,Anapalau Pl,Maalaea,89124,wa,19930114,24,808 5646939,6951112,3
rec-2042-org,Hinaea,Nakamoto,215,Lelehune Pl,Kailua CDP,85250,hi,19241208,34,213 9700031,,5
rec-2819-org,Alisha,Bright,151,Kahai St,Wailua,85036,az,20120616,24,808 0546510,4612218,7
rec-679-org,Alisha,Kaipo,18,,Volcano,,az,19440810,34,213 8945880,,8
rec-1935-org,Iesha,Mukai,7,Bougainville Loop,Volcano,85215,hi,19240531,21,423 2675567,,5
rec-2764-org,Ridge,Chock,,N Kukui St,Kaumakani,96703,nv,19680525,27,423 5095349,6877545,9
rec-2857-org,Alisha,Benson,65,Kaihiaku St,Puako,96747,or,19400331,38,808 4416310,,2
rec-2884-org,Alisha,Hema,32,Aholehole St,Hilo,85224,,19290103,,253 2712452,,7
rec-39-org,Alisha,Raymond,5,Leilani,Ko Olina,85219,hi,20120927,9,423 5762551,6753288,0
rec-1647-org,Alisha,Ferguson,102,Kipu Pl,Puhi,85075,wa,19660718,29,310 4718291,,8
rec-1588-org,Alisha,Molina,11,Panui St,Kahaluu,90290,hi,19290316,41,310 5283539,,3
rec-354-org,Alisha,Seto,9,Frear St,Tiki Gardens,85043,wa,,26,480 8883342,6069254,7
rec-637-org,Joni,Badua,28,Iholena St,Waihee-Waiehu,96746,,19820620,31,808 7590703,7496340,9
rec-2777-org,Alisha,KuLopaka,23,Waipahee Pl,Fern Acres,96757,,,32,206 2067456,,1
rec-41-org,Alisha,Matsushima,26,Kamalei Pl,Ualapue,90290,wa,19490307,34,808 9769601,,8
rec-2434-org,Alisha,Haleakala,62,Hammerberg St,Volcano,90245,,,22,808 9764070,,9
rec-1383-org,Alisha,Masuda,7,Ala Puumalu Pl,Volcano,85079,az,19440610,21,808 3433070,,4
rec-1667-org,Alisha,,25,,Kaneohe Base,90290,hi,19930309,22,310 8033439,7396410,3
rec-898-org,Alisha,Chock,60,Kaumaka Pl,Kahaluu,85043,az,19710430,26,253 2588640,3873474,3
rec-2331-org,Alisha,KumulÄÊ»au,10,Sonoma St,Volcano,96755,,,36,253 5761072,,3
rec-697-org,Alisha,Tanigawa,17,Makini St,Wahiawa,89124,or,19350113,,808 4335500,3403072,3
rec-878-org,Alisha,Hiapo,123,Puuikena Pl,Laie,89121,tx,,28,423 2975371,4309195,8
rec-2782-org,Alisha,Chock,5,N Kukui St,Haiku-Pauwela,85224,,19510611,29,602 8582160,,7
rec-2180-org,Alisha,Nakahara,15,Hiehie St,Makawao,85283,nv,19900930,26,423 2887114,2303800,2
rec-2148-org,Alisha,Kaya,16,Momolio St,Volcano,85043,hi,20110825,35,213 1685348,7705458,5
rec-2354-org,Alisha,Matthews,178,Leahi Ave,Waialua,85224,tx,19750126,30,310 9428267,3951320,8
rec-719-org,Alisha,Hill,64,N Kukui St,Volcano,85224,,19890607,30,206 6161085,7760575,3
rec-2006-org,Masayuki,Tanabe,84,,Kaneohe Base,85041,az,,38,206 9860510,8386355,7
rec-2322-org,Alisha,Moniz,22,N Kahiwa Pl,Puako,85031,az,19680726,19,602 7586873,4266945,7
rec-1040-org,Alisha,Chock,519,Shower Pl,East Kapolei,92735,or,19820924,9,,,0
rec-2655-org,Alisha,Kimoto,5,,Kalaeloa,96747,nv,,,480 5736398,,0
rec-2469-org,Alisha,Bautista,18,Ahana St,Hawaiian Ocean View,85043,nv,19310617,26,423 1589401,6329376,2
